vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,pending_redirect,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:15.642967"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:15.648223""}",1,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:15,Bot,,generic,af4d8e4d-c744-4b95-8de5-3c41b1328213,a083b1b4-510f-4dc1-a117-1b1ab8bfc788:af4d8e4d-c744-4b95-8de5-3c41b1328213,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",14.0,73.0,0.1917808219178082,[],"[0.8493150684931506, 0.1917808219178082, 0.1917808219178082]",7d7cf7d0-2930-e225-f060-f7c9f8d35bc7,4,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,1,1,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:16.293249"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:16.118658""}",2,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:16,Bot,,generic,360144e9-3ded-4fc5-9658-e02b44fa2b2a,513a39f1-5df4-42d5-853d-9ff93a0e2d56:360144e9-3ded-4fc5-9658-e02b44fa2b2a,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",20.0,73.0,0.273972602739726,[],"[0.8493150684931506, 0.273972602739726, 0.273972602739726]",6783009d-d4c5-161c-6de1-615f4480da8b,5,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.01,0.0,0.0,True,Browser platform info could not be retrieved.,2,3,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:16.747567"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:16.751997""}",3,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:16,Bot,,generic,fa6eab3a-89ea-4046-84e7-46cb109bcf33,06301a96-43e1-4606-9ab6-a2d408914363:fa6eab3a-89ea-4046-84e7-46cb109bcf33,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",14.0,73.0,0.1917808219178082,[],"[0.8493150684931506, 0.1917808219178082, 0.1917808219178082]",3716bb26-6ab5-cadb-cd17-8d6d5ec37ea9,4,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,3,4,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:17.369779"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:17.189914""}",4,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:17,Bot,,generic,77de1e98-5da6-416f-898c-92da92162125,d0f6583e-73e8-4ce5-aeb4-3296d78c0144:77de1e98-5da6-416f-898c-92da92162125,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",20.0,73.0,0.273972602739726,[],"[0.8493150684931506, 0.273972602739726, 0.273972602739726]",5c04a1c5-1324-cc49-47d5-bc5798b3e9b8,5,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.01,0.0,0.0,True,Browser platform info could not be retrieved.,4,6,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:17.990877"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:17.819025""}",5,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:18,Bot,,generic,9a4eb272-8fa5-43d2-959a-ae634ce61db2,4577b040-ae8a-4c57-be9d-7e09f9730bec:9a4eb272-8fa5-43d2-959a-ae634ce61db2,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",20.0,73.0,0.273972602739726,[],"[0.8493150684931506, 0.273972602739726, 0.273972602739726]",31b1d81b-9d43-b712-26e2-0be371d7f753,5,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.01,0.0,0.0,True,Browser platform info could not be retrieved.,5,8,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:19.505098"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:18.442132""}",6,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:19,Bot,,generic,d24b9fff-7fb3-4015-8a93-ccdd9ecda021,c80c24d8-687c-4e4c-b224-e50f06205a01:d24b9fff-7fb3-4015-8a93-ccdd9ecda021,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",50.0,73.0,0.684931506849315,[],"[0.8493150684931506, 0.684931506849315, 0.684931506849315]",460c1271-c4b9-120b-027f-8fdcbb4547ad,10,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.060000000000000005,0.0,0.0,True,Browser platform info could not be retrieved.,6,15,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:19.973634"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:19.977231""}",7,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:20,Bot,,generic,290b2e52-a70a-4053-9130-b0b679b937a0,85a496d5-0569-40b8-8407-2eabd80fb7f4:290b2e52-a70a-4053-9130-b0b679b937a0,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",14.0,73.0,0.1917808219178082,[],"[0.8493150684931506, 0.1917808219178082, 0.1917808219178082]",99493911-cc19-78a4-8353-ced6f270af76,4,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,7,16,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:21.130357"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:20.419384""}",8,2026-06-14 14:31:14,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:21,Bot,,generic,a5b7367a-88f0-46bb-abab-861eccda78bf,2192ec12-4186-4d37-96b8-dd1eaa22a2fa:a5b7367a-88f0-46bb-abab-861eccda78bf,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",38.0,73.0,0.5205479452054794,[],"[0.8493150684931506, 0.5205479452054794, 0.5205479452054794]",5e9c6341-3dc8-de44-3bb9-f0867e8a1148,8,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.04,0.0,0.0,True,Browser platform info could not be retrieved.,8,21,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:22.134852"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:21.605840""}",9,2026-06-14 14:31:15,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,Bot,,generic,d637f1d5-cd24-4e84-afc4-cad9fc727c70,9dcfb274-6d8d-4457-9798-b0c5be17afe4:d637f1d5-cd24-4e84-afc4-cad9fc727c70,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",32.0,73.0,0.4383561643835616,[],"[0.8493150684931506, 0.4383561643835616, 0.4383561643835616]",da888189-6fcd-9e37-f6a0-366302493ad2,7,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.03,0.0,0.0,True,Browser platform info could not be retrieved.,9,25,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:22.770851"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:22.596988""}",10,2026-06-14 14:31:15,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:22,Bot,,generic,1d5cb388-5a44-4835-9023-741f8f5e29d9,0532c4c7-5bf6-416a-8b8f-8e99753adc8a:1d5cb388-5a44-4835-9023-741f8f5e29d9,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",20.0,73.0,0.273972602739726,[],"[0.8493150684931506, 0.273972602739726, 0.273972602739726]",5a33f586-55d2-eed7-471a-f7bb78786fc2,5,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.01,0.0,0.0,True,Browser platform info could not be retrieved.,10,27,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:24.133517"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:23.227264""}",11,2026-06-14 14:31:15,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:24,Bot,,generic,ec1c4b6c-8ec1-4d24-be31-cc26c66b9179,431e7da0-7c36-42ac-ac8b-6f6e637ccc30:ec1c4b6c-8ec1-4d24-be31-cc26c66b9179,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",44.0,73.0,0.6027397260273972,[],"[0.8493150684931506, 0.6027397260273972, 0.6027397260273972]",3c0d9fd1-91c3-bdf1-f3be-660f26e966ce,9,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.05,0.0,0.0,True,Browser platform info could not be retrieved.,11,33,available,,Bot,Participant,[],"[""animals""]",[],animals
"{""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-14T14:31:24.764659"", ""__animals__trial_loop__loop_start_time__loop_start_time"": ""2026-06-14T14:31:24.594976""}",12,2026-06-14 14:31:15,True,"performance_check, UnsuccessfulEndPage",2026-06-14 14:31:24,Bot,,generic,00779186-4bbb-4a25-bc50-c466051de9b5,313aabe8-b63b-417d-8558-7cf98c52926c:00779186-4bbb-4a25-bc50-c466051de9b5,,debug,,,,{},approved,"[""unsuccessful_end"", 3, 1]","[2, 2, 2]",20.0,73.0,0.273972602739726,[],"[0.8493150684931506, 0.273972602739726, 0.273972602739726]",4f488213-ac69-f807-b807-9649a4083d7d,5,False,False,,Finish,[],[],"[[""init_participant"", false]]",{},"[""performance_check"", ""UnsuccessfulEndPage""]",0.34,0.01,0.0,0.0,True,Browser platform info could not be retrieved.,12,35,available,,Bot,Participant,[],"[""animals""]",[],animals
