vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,pending_redirect,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,client_ip_address,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,locale
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:21.025703"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:20.136153""}",1,2026-06-15 20:41:17,False,,,Bot,,generic,3777f9af-616b-4f02-942d-e6fa9a1be1ee,e8d33642-0d31-470c-b64b-d81d0651e777,3777f9af-616b-4f02-942d-e6fa9a1be1ee:e8d33642-0d31-470c-b64b-d81d0651e777,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],a30a8ab1-b999-a8e0-4db9-b0ff844fb6bb,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:22.289093"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:21.434085""}",2,2026-06-15 20:41:17,False,,,Bot,,generic,4dc5df30-c37d-46e2-8f22-5fa81efed820,ef790add-ada6-44cb-9774-1c9ef4f1b882,4dc5df30-c37d-46e2-8f22-5fa81efed820:ef790add-ada6-44cb-9774-1c9ef4f1b882,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],22070119-0ba7-d3d9-9d64-777dbd36ee1e,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:23.549192"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:22.692871""}",3,2026-06-15 20:41:18,False,,,Bot,,generic,576441a3-c2e0-40c7-994f-1eccbbe28e19,9d4f7322-333b-4c6e-a636-1fb374abf7d8,576441a3-c2e0-40c7-994f-1eccbbe28e19:9d4f7322-333b-4c6e-a636-1fb374abf7d8,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],3d56c592-38b5-185d-5a03-51464914aa96,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:24.848725"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:23.963927""}",4,2026-06-15 20:41:18,False,,,Bot,,generic,63793c6b-7669-4125-b789-2f56a3aea9b4,3be511e7-c618-419c-886d-c9941a335f59,63793c6b-7669-4125-b789-2f56a3aea9b4:3be511e7-c618-419c-886d-c9941a335f59,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],7a75ce49-295d-c2fa-2a2c-10653cd28874,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:26.153893"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:25.264116""}",5,2026-06-15 20:41:18,False,,,Bot,,generic,7140b6bf-c395-46cf-a119-f9d23c9a782c,3eb19e2d-7080-4b47-9290-196c68e5f974,7140b6bf-c395-46cf-a119-f9d23c9a782c:3eb19e2d-7080-4b47-9290-196c68e5f974,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],c4e9e7dd-c737-b4fa-316f-1965fa0606f3,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:27.455376"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:26.559265""}",6,2026-06-15 20:41:18,False,,,Bot,,generic,bba77118-0968-4b9d-b727-37f3f4a250bb,3a1cab8b-70a5-451a-ac9d-98a0abd3d6c0,bba77118-0968-4b9d-b727-37f3f4a250bb:3a1cab8b-70a5-451a-ac9d-98a0abd3d6c0,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],e5e8a24c-6312-97a2-c180-48615759c3cc,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:28.735063"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:27.867522""}",7,2026-06-15 20:41:18,False,,,Bot,,generic,0f45217b-337b-4339-89dd-3d930e0e7981,12049ad3-9f87-4aff-a1af-c37595d6571f,0f45217b-337b-4339-89dd-3d930e0e7981:12049ad3-9f87-4aff-a1af-c37595d6571f,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],3b6da6ac-1ff5-d629-3a71-7afcbcfd4924,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:30.015238"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:29.146073""}",8,2026-06-15 20:41:18,False,,,Bot,,generic,52a8f11f-3845-4e49-a624-46bcd45ceadd,a3a88aa4-238c-48b4-9100-9cf8172a7b82,52a8f11f-3845-4e49-a624-46bcd45ceadd:a3a88aa4-238c-48b4-9100-9cf8172a7b82,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],5f959510-8f79-9559-26e5-7cf07c84042c,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:31.316956"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:30.421023""}",9,2026-06-15 20:41:18,False,,,Bot,,generic,d9a561a8-db69-4b19-8e72-8303098ab6c6,d226e027-8600-4d22-86a3-b75422c392c2,d9a561a8-db69-4b19-8e72-8303098ab6c6:d226e027-8600-4d22-86a3-b75422c392c2,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],39653cca-6e45-fd0c-9383-d7f69ff889ae,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:32.593015"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:31.723931""}",10,2026-06-15 20:41:18,False,,,Bot,,generic,42d1294e-7855-40aa-8949-39635d474203,1b3731a5-32d1-4fb1-96a0-8e64553c3b0a,42d1294e-7855-40aa-8949-39635d474203:1b3731a5-32d1-4fb1-96a0-8e64553c3b0a,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],6b6f0df3-b50e-4992-2e4a-305120715a54,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:33.875280"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:32.999977""}",11,2026-06-15 20:41:19,False,,,Bot,,generic,eec280ba-b523-4ec1-a8eb-5c11cd6b9f56,2c396535-467f-42a7-9b2e-61592516f05e,eec280ba-b523-4ec1-a8eb-5c11cd6b9f56:2c396535-467f-42a7-9b2e-61592516f05e,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],1dc89f88-5c80-04ee-5d21-69562b78f91b,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:35.135838"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:34.280703""}",12,2026-06-15 20:41:19,False,,,Bot,,generic,848a9f1c-ccce-4177-be1c-c638755f8ebc,171df9c7-3f12-4f98-8cad-ec67d4d4a216,848a9f1c-ccce-4177-be1c-c638755f8ebc:171df9c7-3f12-4f98-8cad-ec67d4d4a216,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],33b90794-a2f7-39db-0786-5c0e5a94d0c6,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:36.388991"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:35.535926""}",13,2026-06-15 20:41:19,False,,,Bot,,generic,2d5dd963-2c2f-48aa-a1e0-d1409647c59b,51819a47-f2c4-4286-8211-98bd15230496,2d5dd963-2c2f-48aa-a1e0-d1409647c59b:51819a47-f2c4-4286-8211-98bd15230496,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],682795d8-e1b7-5bc9-a8e7-8dc9b8929da8,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:37.679597"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:36.798978""}",14,2026-06-15 20:41:19,False,,,Bot,,generic,5f2886ef-3cc8-4a6a-ba07-7b19535978f8,307d3bef-308a-4400-8bd4-077cc0f20849,5f2886ef-3cc8-4a6a-ba07-7b19535978f8:307d3bef-308a-4400-8bd4-077cc0f20849,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],6932f5fd-dbf5-896c-6eb4-4ce4942f84c7,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:38.959521"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:38.086164""}",15,2026-06-15 20:41:19,False,,,Bot,,generic,354f9b15-0090-4a4b-9bec-7de080ea2cd5,aa11e6b5-d31d-4aad-853c-766c07805027,354f9b15-0090-4a4b-9bec-7de080ea2cd5:aa11e6b5-d31d-4aad-853c-766c07805027,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],5f9e67b9-69a3-1ed8-ac88-176ddaf208ef,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:40.242934"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:39.376068""}",16,2026-06-15 20:41:19,False,,,Bot,,generic,3f1a4db6-d94e-4eb2-816d-b0d7b6df0452,59367a99-bfde-4f70-b5e5-832ee9678f94,3f1a4db6-d94e-4eb2-816d-b0d7b6df0452:59367a99-bfde-4f70-b5e5-832ee9678f94,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],a6c5b0fa-9b65-e74d-2bda-ab2883807e6a,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:41.531527"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:40.654412""}",17,2026-06-15 20:41:19,False,,,Bot,,generic,0ee30601-1a24-4579-8b61-6bae117ae725,480289ec-2845-4acc-aecd-ec3e14c79c41,0ee30601-1a24-4579-8b61-6bae117ae725:480289ec-2845-4acc-aecd-ec3e14c79c41,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],d5badf3a-3241-b36b-50eb-fa58d376786c,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
"{""locale"": ""en"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:41:42.823275"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:41:41.945878""}",18,2026-06-15 20:41:19,False,,,Bot,,generic,be5b5df2-f14e-4f17-bd4f-0eff04d9466a,051131c6-6500-4adb-b2da-3af4c2660f7f,be5b5df2-f14e-4f17-bd4f-0eff04d9466a:051131c6-6500-4adb-b2da-3af4c2660f7f,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],fbd88f2b-89ed-16a7-dc24-a44e4518e6d0,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,en
