vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,pending_redirect,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,locale
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:02.778925"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:01.807054""}",1,2026-06-15 20:41:59,False,,,Bot,,generic,ba48f4b5-8919-43cd-b6bc-3291a0143d0e,16cf89f4-639f-4491-bf22-1b8909a22564:ba48f4b5-8919-43cd-b6bc-3291a0143d0e,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ba530346-a2c1-3717-28c4-a0d51e7e13a1,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:04.091534"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:03.197161""}",2,2026-06-15 20:41:59,False,,,Bot,,generic,6efc337b-daf3-4941-a531-35eb21385990,e4767efd-ea28-4961-8157-f79dbb59d3fc:6efc337b-daf3-4941-a531-35eb21385990,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],97352f69-128c-0fc8-e6ad-85b9be6b9a17,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:05.403058"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:04.511855""}",3,2026-06-15 20:41:59,False,,,Bot,,generic,cdeaa559-0912-470e-9774-8315fc0ee55a,9678b2a9-f95f-46e5-8421-ef6b9891c4e6:cdeaa559-0912-470e-9774-8315fc0ee55a,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ded74679-bad5-2a47-1bde-0c583f7eb16c,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:06.734183"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:05.830524""}",4,2026-06-15 20:41:59,False,,,Bot,,generic,4baf3f15-fd70-4818-a93c-f422b66fb6ab,19192451-f6cd-4fa5-b6bd-8d894724a31b:4baf3f15-fd70-4818-a93c-f422b66fb6ab,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],44717591-0895-e1cc-d9fa-1565fb7d682a,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:08.066656"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:07.160123""}",5,2026-06-15 20:42:00,False,,,Bot,,generic,16878d26-2959-4f01-8544-0fdc8561309e,741012a6-bfd5-4062-b34b-473c1bce3071:16878d26-2959-4f01-8544-0fdc8561309e,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],bccd4c53-a894-bad7-3058-3712306599b0,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:09.388627"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:08.489707""}",6,2026-06-15 20:42:00,False,,,Bot,,generic,e5f48217-7bc8-45d1-a1dd-330b49f8eea2,c4731470-47bf-4ccd-8fa4-d78dc20e1c9a:e5f48217-7bc8-45d1-a1dd-330b49f8eea2,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],aade4841-6af2-b756-d2dc-3cb1bbbb52df,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:10.699367"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:09.812762""}",7,2026-06-15 20:42:00,False,,,Bot,,generic,0ee316a3-d71c-4753-8011-324a3de3dd61,67f2ebad-ad85-4606-9d48-16d3ac293c88:0ee316a3-d71c-4753-8011-324a3de3dd61,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],dd48a08f-2d92-f946-eab8-31313811dfea,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:12.007928"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:11.116238""}",8,2026-06-15 20:42:00,False,,,Bot,,generic,ed6ff9d4-34e8-428a-af48-e62dfe7e1048,194069c3-86e8-4584-ba50-03d71a41ca96:ed6ff9d4-34e8-428a-af48-e62dfe7e1048,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],6670071f-b1f7-092c-4d3c-32999343efde,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:13.315765"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:12.426321""}",9,2026-06-15 20:42:00,False,,,Bot,,generic,5da0d48c-ac9e-4940-adcb-4323a76b3d8d,91a10299-f721-4ac5-9044-af3b8e152583:5da0d48c-ac9e-4940-adcb-4323a76b3d8d,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],5c4e7383-0593-cc26-68c3-e73c9207a611,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:14.615595"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:13.724151""}",10,2026-06-15 20:42:00,False,,,Bot,,generic,5e46170a-0e10-4a50-83f3-1175fb30d75b,decf295b-4d66-4ba9-80df-e0398aacf87c:5e46170a-0e10-4a50-83f3-1175fb30d75b,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ebc93fe8-42c3-998a-1b9d-d777c6634b99,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:15.935333"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:15.035972""}",11,2026-06-15 20:42:00,False,,,Bot,,generic,3cebf7ed-1fdf-4c52-9e0b-a5178e32f20f,25fd5616-ae06-474c-be15-984230522a48:3cebf7ed-1fdf-4c52-9e0b-a5178e32f20f,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],8a026251-28c0-1329-ad52-93fffc193284,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:17.229999"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:16.356180""}",12,2026-06-15 20:42:00,False,,,Bot,,generic,4a583e3f-febe-4a85-be2a-82c37f60d2c9,766b3b9d-79e9-40ca-9400-5d82ebfe5b2a:4a583e3f-febe-4a85-be2a-82c37f60d2c9,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],4d1810b8-9ecc-e2bb-6af7-d6a92fd58ce2,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:18.532142"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:17.645953""}",13,2026-06-15 20:42:01,False,,,Bot,,generic,3a50fe58-9faa-4a5f-bbc1-a883752b411a,b63bd12a-753a-4cae-ac42-76ca06607520:3a50fe58-9faa-4a5f-bbc1-a883752b411a,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],df40a51d-fed5-abfa-13b1-7be216173bf0,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:19.830103"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:18.943538""}",14,2026-06-15 20:42:01,False,,,Bot,,generic,760ad6dc-9e7e-409a-a100-fe72631acca2,d8f43bb3-c6a2-42bc-92e7-ab71254f052e:760ad6dc-9e7e-409a-a100-fe72631acca2,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ac565729-037b-1d44-504c-5f302a176924,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:21.141248"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:20.248856""}",15,2026-06-15 20:42:01,False,,,Bot,,generic,3f9663f1-4e10-43b2-800a-c225d5c7cd2c,d6b9bf5b-b153-4e7a-a904-b761b38f8122:3f9663f1-4e10-43b2-800a-c225d5c7cd2c,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],4178a230-3c5b-22f8-6119-b24de547e63a,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:22.438089"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:21.556116""}",16,2026-06-15 20:42:01,False,,,Bot,,generic,82e79727-7cf1-4039-9909-bf5811bf914c,bd954caf-ef57-455c-a878-d0c9ff81069f:82e79727-7cf1-4039-9909-bf5811bf914c,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],2abb63fc-0a7c-ca17-2cac-200b5a4db533,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:23.727129"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:22.849665""}",17,2026-06-15 20:42:01,False,,,Bot,,generic,8218d1b3-be87-4867-9d6a-06da153f76c2,711a4148-7c7a-445c-9d9c-5076cf1d74d3:8218d1b3-be87-4867-9d6a-06da153f76c2,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],ca386803-f8ad-1394-a455-4d3d2e7e74ad,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
"{""locale"": ""it"", ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-06-15T20:42:25.023933"", ""__everyday_predictions__trial_loop__loop_start_time__loop_start_time"": ""2026-06-15T20:42:24.138006""}",18,2026-06-15 20:42:01,False,,,Bot,,generic,7e082f1a-a7ca-4ba2-8452-d23549a54892,dd912ed5-acb5-4242-b6d0-e41a1134b297:7e082f1a-a7ca-4ba2-8452-d23549a54892,,debug,,,,{},approved,"[""successful_end"", 3, 1]","[2, 2, 2]",75.0,75.0,1.0,[],[1.0],e2388a80-08dd-c914-ff6c-f6db206e87fe,9,False,True,,Finish,[],[],"[[""init_participant"", false]]",{},[],0.1,0.0,0.0,0.0,True,Browser platform info could not be retrieved.,,,exit,,Bot,Participant,[],"[""everyday_predictions""]","[""everyday_predictions""]",,it
